Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
192,6th Gen AMD PRO A12-8870 APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,AD887BAUM44AB,,,3Q 2016,4,,8,,3.7GHz,Up to 4.2GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1108 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
193,6th Gen AMD PRO A12-8870E APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Desktops,Desktop,AD887BAHM44AB,,,,4,,8,,2.9GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,35W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
194,6th Gen AMD PRO A10-8850B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,AD885BXBI44JC,,,,4,4,8,12 (4 CPU + 8 GPU),3.9GHz,Up to 4.1GHz,,4MB,,No,28nm,FM2+,,,,,95W,,72.40°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3,2,800 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
195,6th Gen AMD PRO A10-8770 APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,AD877BAGM44AB,,,3Q 2016,4,,6,,3.5GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
196,6th Gen AMD PRO A10-8770E APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,AD877BAHM44AB,,,3Q 2016,4,,6,,2.8GHz,Up to 3.5GHz,,2MB,,No,28nm,AM4,,PCIe® 3.0,,,35W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,847 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
197,6th Gen AMD PRO A10-8750B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,AD875BYBI44JC,,,,4,4,8,12 (4 CPU + 8 GPU),3.6GHz,Up to 4.0GHz,,4MB,,No,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3,2,757 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
198,6th Gen AMD PRO A8-8650B APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Desktops,Desktop,AD865BYBI44JC,,,,4,4,6,10 (4 CPU + 6 GPU),3.2GHz,Up to 3.9GHz,,4MB,,No,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3,2,757 MHz,,AMD Radeon™ R7 Graphics,384,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
199,6th Gen AMD PRO A6-8570 APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,AD857BAGM23AB,,,,2,,6,,3.5GHz,Up to 3.8GHz,,1MB,,No,28nm,AM4,,PCIe® 3.0,,,65W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
200,6th Gen AMD PRO A6-8570E APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,AD857BAHM23AB,,,,2,,4,,3.0GHz,Up to 3.4GHz,,1MB,,No,28nm,AM4,,PCIe® 3.0,,,35W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,800 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
201,6th Gen AMD PRO A6-8550B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Desktops,Desktop,AD855BYBI23JC,,,,2,2,4,6 (2 CPU + 4 GPU),3.7GHz,Up to 4.0GHz,,1MB,,No,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3,2,800 MHz,,AMD Radeon™ R5 Graphics,256,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD Mantle API",Yes,Yes
202,6th Gen AMD PRO A4-8350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Desktops,Desktop,AD835BYBI23JC,,,,2,2,4,6 (2 CPU + 4 GPU),3.5GHz,Up to 3.9GHz,,1MB,,No,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR3,2,757 MHz,,AMD Radeon™ R5 Graphics,256,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD PowerTune Technology, AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD Mantle API",Yes,Yes
203,6th Gen AMD PRO A12-8830B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,AM883BADY44AB,,,Q3 2016,4,,6,10 (4 CPU + 6 GPU),2.5GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,,,,12W/15WW,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,,758 MHz,,R7,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
204,6th Gen AMD PRO A12-8800B APU,AMD PRO A-Series Processors,AMD PRO A-Series A12 APU for Laptops,Laptop,,,,,4,4,8,12 (4 CPU + 8 GPU),2.1GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3/DDR3L,2,800 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology",Yes,Yes
205,6th Gen AMD PRO A10-8730B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,AM873BADY44AB,,,Q3 2016,4,,6,10 (4 CPU + 6 GPU),2.4GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,,,,,12W/15WW,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,,720 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
206,6th Gen AMD PRO A10-8700B APU,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,,,,,4,4,6,10 (4 CPU + 6 GPU),1.8GHz,Up to 3.2GHz,,2MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3/DDR3L,2,800 MHz,,AMD Radeon™ R6 Graphics,384,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
207,6th Gen AMD PRO A8-8600B APU,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,,,,,4,4,6,10 (4 CPU + 6 GPU),1.6GHz,Up to 3.0GHz,,2MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3/DDR3L,2,720 MHz,,AMD Radeon™ R6 Graphics,384,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
208,6th Gen AMD PRO A6-8530B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,AM853BADY23AB,,,Q3 2016,2,,4,6 (2 CPU + 4 GPU),2.3GHz,Up to 3.2GHz,,1MB,,No,28nm,FP4,,,,,,12W/15WW,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,,800 MHz,,R5,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AVX, Catalyst Software, FMA4, AMD Frame Rate Target Control, The Vulkan® API, Switchable Graphics",,
209,6th Gen AMD PRO A6-8500B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,,,,,2,4,4,6 (2 CPU + 4 GPU),1.6GHz,Up to 3.0GHz,,1MB,,No,28nm,FP4,,,,,15W,,,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1600MHz,DDR3/DDR3L,2,800 MHz,,AMD Radeon™ R5 Graphics,256,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
210,6th Gen FX-8800P APU,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,FM880PAAY43KA,,,,4,4,8,12 (4 CPU + 8 GPU),2.1GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,,,15W,,90°C,"Windows 10 - 64-Bit Edition, Windows 7 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR3,2,800 MHz,,AMD Radeon™ R7 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, AVX, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, Heterogeneous System Architecture (HSA), AMD Radeon™ Dual Graphics, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD Elite Experiences, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Enhanced Virus Protection, AMD HD3D Technology, AMD Mantle API",Yes,Yes
211,A10-7890K with Radeon R7 Graphics and Wraith cooler,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,,AD789KXDJCHBX,,,4,,8,12 (4 CPU + 8 GPU),4.1GHz,Up to 4.3GHz,256KB,4MB,,Yes,28nm,FM2+,,,Wraith cooler,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,866 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
212,A10-7870K with Radeon R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD787KXDI44JC,AD787KXDJCBOX,,,4,4,8,12 (4 CPU + 8 GPU),3.9GHz,Up to 4.1GHz,256KB,4MB,,Yes,28nm,FM2+,,,,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,866 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
213,A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,,AD787KXDJCSBX,,,4,,8,12 (4 CPU + 8 GPU),3.9GHz,Up to 4.1GHz,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 125W,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,866 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
214,A10-7860K with Radeon R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD786KYBI44JC,AD786KYBJABOX,,,4,4,8,12 (4 CPU + 8 GPU),3.6GHz,Up to 4.0GHz,256KB,4MB,,Yes,28nm,FM2+,,,,,65W,45W/65WW,71.30°C,,Up to 2133MHz,DDR3,2,757 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
215,A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,,AD786KYBJCSBX,,,4,4,8,12 (4 CPU + 8 GPU),3.6GHz,Up to 4.0GHz,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 95W,,65W,45W/65WW,71.30°C,,Up to 2133MHz,DDR3,2,757 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
216,A10-7850K with Radeon R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD785KXBI44JA,AD785KXBJABOX,,,4,4,8,12 (4 CPU + 8 GPU),3.7GHz,Up to 4.0GHz,256KB,4MB,,Yes,28nm,FM2+,,,,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,720 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
217,A10-7800 with Radeon R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD7800YBI44JA,AD7800YBJABOX,,,4,4,8,12 (4 CPU + 8 GPU),3.5GHz,Up to 3.9GHz,256KB,4MB,,No,28nm,FM2+,,,,,,45W/65WW,71.30°C,,Up to 2133MHz,DDR3,2,720 MHz,,AMD Radeon™ R7 Graphics,512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
218,A10-7700K with Radeon R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD770KXBI44JA,AD770KXBJABOX,,,4,4,6,10 (4 CPU + 6 GPU),3.4GHz,Up to 3.8GHz,256KB,4MB,,Yes,28nm,FM2+,,,,,,45W/65WW,72.40°C,,Up to 2133MHz,DDR3,2,720 MHz,,AMD Radeon™ R7 Graphics,384,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
219,A10-6800K with Radeon HD 8670D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD680KWOA44HL,AD680KWOHLBOX,,,4,4,,,4.1GHz,Up to 4.4GHz,192KB,4MB,,Yes,32nm SOI,FM2,,,,,100W,,74°C,,Up to 2133MHz,DDR3,2,844 MHz,,AMD Radeon™ HD 8670D,384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
220,A10-6790K with Radeon HD 8670D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD679KWOA44HL,AD679KWOHLBOX,,,4,4,,,4.0GHz,Up to 4.3GHz,192KB,4MB,,Yes,32nm SOI,FM2,,,,,100W,,74°C,,Up to 1866MHz,DDR3,2,844 MHz,,AMD Radeon™ HD 8670D,384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
221,A10-6700 with Radeon HD 8670D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD6700OKA44HL,AD6700OKHLBOX,,,4,4,,,3.7GHz,Up to 4.3GHz,192KB,4MB,,No,32nm SOI,FM2,,,,,65W,,71.30°C,,Up to 1866MHz,DDR3,2,844 MHz,,AMD Radeon™ HD 8670D,384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
