Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
151,152,36282573,131%,101%,127%,Intel Core i9-9900K,92.70%,Nvidia RTX 2080S (Super),139.50%,Nvidia,Intel
152,154,36282581,6%,62%,5%,Intel Core i7-920,65.40%,Nvidia GTX 275,10.30%,Nvidia,Intel
153,155,36282586,56%,94%,54%,AMD Ryzen 7 3700X,85.30%,AMD RX 590,56.50%,AMD,AMD
154,156,36282591,73%,75%,62%,AMD FX-8370,71.30%,Nvidia GTX 1080,102.40%,Nvidia,AMD
155,157,36282594,38%,75%,36%,AMD Ryzen 5 2400G,63.50%,AMD RX 580,52.60%,AMD,AMD
156,158,36282599,113%,98%,108%,AMD Ryzen 5 3600,95.70%,AMD RX 5700-XT,116.10%,AMD,AMD
157,159,36282603,46%,84%,39%,Intel Core i7-7700,78.40%,Nvidia GTX 1060-6GB,53.90%,Nvidia,Intel
158,160,36282607,108%,99%,91%,Intel Core i5-8600K,96.60%,Nvidia GTX 1070-Ti,108.50%,Nvidia,Intel
159,161,36282612,45%,78%,42%,AMD Ryzen 5 1600,74%,AMD RX 580,53%,AMD,AMD
160,162,36282618,81%,81%,74%,AMD Ryzen 5 2600,78.70%,Nvidia RTX 2060S (Super),100.10%,Nvidia,AMD
161,163,36282622,103%,98%,106%,AMD Ryzen 7 3800X,93.50%,Nvidia RTX 2070,107.80%,Nvidia,AMD
162,164,36282624,120%,90%,110%,Intel Core i7-9700K,86.60%,Intel UHD Graphics 630,4.70%,Intel,Intel
163,165,36282757,75%,95%,76%,Intel Core i7-10700,94.50%,Nvidia GTX 1660-Ti,76.90%,Nvidia,Intel
164,166,36282760,7%,60%,6%,Intel Core i5-3230M,61.50%,Intel HD 4000 (Mobile 1.25 GHz),1.80%,Intel,Intel
165,167,36282763,102%,99%,87%,Intel Core i7-7700K,91.10%,Nvidia GTX 1080,107.10%,Nvidia,Intel
166,168,36282767,47%,87%,44%,AMD Ryzen 5 2600X,84.80%,Nvidia GTX 1650,47.20%,Nvidia,AMD
167,169,36282771,120%,89%,109%,AMD Ryzen 5 2600X,87.50%,Nvidia GTX 1080-Ti,134.60%,Nvidia,AMD
168,170,36282777,55%,91%,57%,AMD Ryzen 7 3700X,85.10%,Nvidia GTX 1060-6GB,59%,Nvidia,AMD
169,171,36282784,26%,86%,23%,Intel Xeon E3-1231 v3,81.70%,AMD R9 270,25.60%,AMD,Intel
170,172,36282790,14%,76%,13%,Intel Core i5-7300HQ,75.50%,Intel HD Graphics 630,6.70%,Intel,Intel
171,173,36282794,23%,76%,20%,Intel Core i7-7700HQ,68.50%,Nvidia GTX 1050 (Mobile),24.70%,Nvidia,Intel
172,174,36282798,40%,80%,37%,Intel Core i7-9750H,82.50%,Nvidia GTX 1650 (Mobile),46%,Nvidia,Intel
173,175,36282806,9%,61%,8%,Intel Core i7-7700HQ,69.30%,Intel HD Graphics 630,7.10%,Intel,Intel
174,176,36282809,11%,68%,9%,Intel Core i7-2600,70.40%,Nvidia GTX 560,13.50%,Nvidia,Intel
175,177,36282813,46%,77%,37%,Intel Core i7 960,75.50%,Nvidia GTX 1650S (Super),58%,Nvidia,Intel
176,178,36282821,82%,86%,77%,AMD Ryzen 5 2600X,80.20%,Nvidia RTX 2060S (Super),99.30%,Nvidia,AMD
