Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
436,444,36292137,16%,74%,14%,AMD Ryzen 3 3200G,77.20%,AMD Radeon Vega 8 Graphics,12.90%,AMD,AMD
437,445,36292139,115%,107%,99%,Intel Core i7-8700K,103.70%,Nvidia GTX 1080,107.40%,Nvidia,Intel
438,446,36292145,4%,61%,4%,Intel Core i5-2300,70.80%,Intel HD 2000 (Desktop 1.1 GHz),0.80%,Intel,Intel
439,447,36292150,64%,82%,52%,Intel Core i7-2600,77.70%,Nvidia GTX 1660-Ti,80.60%,Nvidia,Intel
440,448,36292152,94%,86%,92%,AMD Ryzen 5 3600,77.80%,AMD RX 5700-XT,116.50%,AMD,AMD
441,449,36292155,2%,52%,2%,Intel Pentium G2020,50.50%,Intel HD 2500 (Desktop 1.05 GHz),1.30%,Intel,Intel
442,450,36292157,49%,94%,40%,Intel Core i3-9100F,91.10%,AMD RX 570,48%,AMD,Intel
443,451,36292167,91%,91%,84%,AMD Ryzen 5 3600,88.70%,Nvidia RTX 2070,99.40%,Nvidia,AMD
444,452,36292171,101%,95%,99%,AMD Ryzen 7 3700X,88.50%,Nvidia GTX 1080,109.50%,Nvidia,AMD
445,453,36292173,48%,81%,45%,AMD Ryzen 5 1600,76.10%,AMD RX 570,53.40%,AMD,AMD
446,455,36292179,94%,69%,122%,AMD Ryzen 9 3900X,60.80%,Nvidia RTX 2080-Ti,147.70%,Nvidia,AMD
447,456,36292180,50%,81%,42%,Intel Core i7-1065G7,64.40%,Nvidia GTX 1070-Ti,65%,Nvidia,Intel
448,457,36292181,8%,71%,8%,Intel Core i7-8750H,80.10%,Intel UHD Graphics 630,8.60%,Intel,Intel
449,458,36292186,93%,100%,86%,Intel Core i7-9700K,99.60%,Nvidia RTX 2060,90.70%,Nvidia,Intel
450,459,36292189,103%,98%,104%,AMD Ryzen 7 3700X,91.30%,AMD RX 5700-XT,108.60%,AMD,AMD
451,460,36292191,8%,70%,8%,Intel Core i7-3770,77.20%,Nvidia GeForce GT 630,3%,Nvidia,Intel
452,461,36292197,113%,88%,104%,AMD Ryzen 5 2600X,85.50%,Nvidia GTX 1080-Ti,128.50%,Nvidia,AMD
453,462,36292199,124%,105%,118%,Intel Core i7-9700K,102.40%,Nvidia RTX 2070,117.70%,Nvidia,Intel
454,463,36292201,3%,40%,2%,AMD Phenom 8650 Triple-Core,36.90%,AMD HD 7770,13.30%,AMD,AMD
455,464,36292202,156%,95%,144%,Intel Core i7-8700K,96.10%,Nvidia RTX 2080-Ti,166.60%,Nvidia,Intel
456,465,36292204,14%,71%,11%,Intel Core i3-3220,64%,Nvidia GTX 750-Ti,17.60%,Nvidia,Intel
457,466,36292210,72%,96%,66%,Intel Core i5-10400,91.90%,Nvidia RTX 2060S (Super),71.50%,Nvidia,Intel
458,467,36292215,54%,96%,44%,Intel Core i3-9100,86.70%,AMD RX 580,54.50%,AMD,Intel
459,468,36292218,69%,94%,58%,Intel Core i5-9400F,89.90%,Nvidia GTX 1660S (Super),70.90%,Nvidia,Intel
460,469,36292219,138%,97%,207%,AMD Ryzen TR 3960X,93.30%,Nvidia RTX 2080S (Super),150.80%,Nvidia,AMD
461,470,36292227,10%,60%,8%,AMD FX-6300,61.10%,AMD Radeon RX550/550,14.30%,AMD,AMD
462,471,36292229,7%,58%,6%,Intel Core i5-4210U,56.10%,Nvidia GeForce 840M,6.20%,Nvidia,Intel
463,472,36292233,179%,103%,184%,AMD Ryzen 7 5800X,100.10%,AMD RX 6800-XT,180.40%,AMD,AMD
464,473,36292235,104%,106%,106%,AMD Ryzen 7 5800X,103.90%,Nvidia GTX 1070-Ti,96.50%,Nvidia,AMD
465,474,36292237,86%,93%,88%,AMD Ryzen 7 3700X,88.20%,Nvidia RTX 2060S (Super),93.60%,Nvidia,AMD
466,475,36292239,70%,83%,61%,AMD Ryzen 5 2600,85.10%,Nvidia GTX 1070,79%,Nvidia,AMD
467,476,36292249,13%,72%,10%,Intel Xeon E3-1240,73.90%,Nvidia GTX 650-Ti,15.80%,Nvidia,Intel
468,477,36292252,55%,74%,43%,Intel Core i5-4690K,66%,Nvidia GTX 980-Ti,82%,Nvidia,Intel
469,478,36292253,116%,99%,109%,AMD Ryzen 5 3600,92.10%,AMD RX 5700-XT,121.60%,AMD,AMD
470,479,36292255,122%,109%,131%,Intel Core i9-10900K,105.80%,Nvidia RTX 3090,112.50%,Nvidia,Intel
471,480,36292258,35%,97%,38%,AMD Ryzen 9 3900X,91.50%,Nvidia RTX 2080,27.10%,Nvidia,AMD
472,481,36292265,111%,92%,92%,Intel Core i7-7700K,93.80%,AMD RX 5700-XT,118.60%,AMD,Intel
473,482,36292268,6%,46%,6%,"AMD FX-8800P Radeon R7, 12 Compute Cores 4C+8G",44.70%,AMD Radeon R7 Graphics,6%,AMD,AMD
474,483,36292270,91%,92%,84%,Intel Core i7-10875H,78.50%,Nvidia RTX 2070S (Super Mobile),109.70%,Nvidia,Intel
475,484,36292273,58%,100%,58%,Intel Core i9-9900K,100.70%,AMD RX 580,50.90%,AMD,Intel
476,485,36292281,72%,94%,72%,AMD Ryzen 7 3700X,88.60%,Nvidia GTX 1660S (Super),74.30%,Nvidia,AMD
477,486,36292283,29%,75%,26%,AMD Ryzen 5 1500X,67%,Nvidia GTX 1050-Ti,28.80%,Nvidia,AMD
478,487,36292286,104%,82%,86%,Intel Core i7-6700K,72.90%,Nvidia GTX 1080-Ti,142.40%,Nvidia,Intel
479,488,36292289,57%,98%,58%,AMD Ryzen 7 3700X,92.40%,AMD RX 580,53.70%,AMD,AMD
480,490,36292290,14%,71%,13%,AMD Ryzen 7 3750H,68.20%,AMD Radeon RX Vega 10 Graphics,13.60%,AMD,AMD
481,491,36292291,19%,76%,16%,Intel Core i3-6100,66.30%,AMD RX 460,18.60%,AMD,Intel
482,492,36292294,14%,64%,13%,AMD Ryzen 3 3300U,64.70%,AMD Radeon Vega 6 Graphics,8.40%,AMD,AMD
483,493,36292302,128%,95%,148%,AMD Ryzen 9 3900X,89.70%,Nvidia GTX 1080-Ti,140.70%,Nvidia,AMD
484,494,36292306,18%,73%,14%,Intel Core i5-2500,73.20%,Nvidia GTX 760,26%,Nvidia,Intel
485,495,36292307,13%,72%,12%,AMD Ryzen 5 2400G,75.80%,Nvidia GTX 1660,6.40%,Nvidia,AMD
486,496,36292550,23%,88%,21%,Intel Core i7-8750H,83.30%,Nvidia GTX 1050 (Mobile),21.90%,Nvidia,Intel
487,497,36292551,207%,103%,221%,Intel Core i9-10900KF,103.40%,Nvidia RTX 3080,207%,Nvidia,Intel
488,498,36292553,137%,102%,155%,AMD Ryzen 9 3900XT,97%,Nvidia RTX 2080,139%,Nvidia,AMD
489,499,36292555,1%,48%,1%,Intel Core i7-3610QM,67.50%,Intel HD 4000 (Mobile 1.25 GHz),0.80%,Intel,Intel
490,500,36292561,200%,101%,179%,Intel Core i7-9700K,104.50%,Nvidia RTX 3080,196.60%,Nvidia,Intel
491,501,36292566,64%,87%,59%,Intel Core i7-9700K,91.30%,Nvidia GTX 1660,70%,Nvidia,Intel
492,502,36292569,39%,79%,31%,AMD Ryzen 3 2200G,75.10%,AMD RX 570,47.50%,AMD,AMD
493,503,36292570,71%,73%,61%,Intel Xeon E5-2678 v3,67.60%,Nvidia Quadro P5000,96.40%,Nvidia,Intel
494,504,36292574,74%,79%,75%,AMD Ryzen 7 1800X,75.90%,Nvidia GTX 1070-Ti,94.70%,Nvidia,AMD
495,505,36292577,56%,90%,49%,Intel Core i5-9600K,93.30%,Nvidia GTX 1060-6GB,59%,Nvidia,Intel
496,506,36292578,146%,93%,123%,Intel Core i5-9600K,93.20%,Nvidia RTX 3070,160.40%,Nvidia,Intel
497,507,36292592,53%,93%,50%,AMD Ryzen 5 3600X,91.90%,AMD RX 580,49.90%,AMD,AMD
498,508,36292596,170%,90%,157%,Intel Core i7-5820K,84.80%,Nvidia RTX 3080,202.40%,Nvidia,Intel
499,509,36292598,44%,79%,36%,Intel Core i7-2600,74.50%,Nvidia GTX 1060-6GB,56.30%,Nvidia,Intel
500,510,36292599,100%,95%,90%,Intel Core i7-9700K,96.70%,Nvidia RTX 2070,103.30%,Nvidia,Intel
501,511,36292603,63%,81%,54%,AMD Ryzen 5 2400G,77.10%,Nvidia GTX 1660,75.70%,Nvidia,AMD
502,512,36292606,91%,93%,84%,Intel Core i7-8700K,93%,Nvidia GTX 1070-Ti,95.70%,Nvidia,Intel
503,513,36292611,243%,106%,244%,Intel Core i7-10700K,102%,Nvidia RTX 3090,244.20%,Nvidia,Intel
504,514,36292612,196%,104%,201%,AMD Ryzen 7 5800X,98.80%,Nvidia RTX 3080,201.40%,Nvidia,AMD
505,515,36292616,15%,79%,14%,AMD Ryzen 5 4500U,83.10%,AMD Radeon Graphics,11.80%,AMD,AMD
506,516,36292617,100%,87%,85%,Intel Core i7-7700,79.10%,Nvidia GTX 1080-Ti,125.30%,Nvidia,Intel
507,517,36292621,227%,106%,258%,AMD Ryzen 9 5900X,104.40%,Nvidia RTX 3080,221.80%,Nvidia,AMD
508,518,36292623,124%,101%,134%,Intel Core i7-10700K,89.80%,Nvidia GTX 1080-Ti,137.10%,Nvidia,Intel
509,519,36292627,72%,99%,70%,AMD Ryzen 5 5600X,92.90%,Nvidia GTX 1660,73.20%,Nvidia,AMD
510,520,36292628,8%,58%,7%,Intel Core i5-5200U,58.10%,Intel HD 5500 (Mobile 0.95 GHz),4%,Intel,Intel
511,521,36292635,34%,69%,27%,Intel Xeon W3550,62.20%,AMD RX 580,52.60%,AMD,Intel
512,522,36292639,17%,81%,16%,AMD Ryzen 3 3200G,78.90%,Nvidia GTX 760,7.60%,Nvidia,AMD
513,523,36292641,190%,91%,177%,AMD Ryzen 5 3600,87.10%,Nvidia RTX 3080,223.40%,Nvidia,AMD
514,524,36292644,6%,69%,5%,Intel Core i5-7400,78.50%,Intel HD 630 (Desktop Kaby Lake),5.10%,Intel,Intel
515,525,36292648,145%,103%,126%,Intel Core i5-9600KF,103.30%,Nvidia GTX 1080-Ti,139.50%,Nvidia,Intel
516,526,36292649,159%,108%,155%,Intel Core i7-9700K,106.40%,Nvidia RTX 2080S (Super),149.80%,Nvidia,Intel
517,527,36292650,35%,100%,33%,Intel Core i7-8700K,92.40%,Nvidia GTX 960,28.90%,Nvidia,Intel
518,528,36292655,239%,101%,268%,Intel Core i9-10900K,98.30%,Nvidia RTX 3090,252.30%,Nvidia,Intel
519,529,36292658,53%,75%,47%,AMD Ryzen 7 3750H,66.20%,Nvidia RTX 2060 (Mobile),72.70%,Nvidia,AMD
520,530,36292659,72%,94%,66%,Intel Core i5-10400F,92.10%,Nvidia GTX 1660S (Super),73%,Nvidia,Intel
521,531,36292671,88%,111%,95%,Intel Core i9-10900K,109.50%,Nvidia GTX 1660S (Super),75.20%,Nvidia,Intel
522,532,36292675,2%,31%,2%,AMD A4-6210 APU R3 Graphics,32.10%,AMD Radeon R3 Graphics,1.60%,AMD,AMD
523,533,36292678,2%,62%,2%,Intel Core i3-4170,67.20%,Intel HD 4400 (Desktop 1.15 GHz),2.50%,Intel,Intel
524,534,36292688,20%,83%,18%,Intel Core i7-1065G7,78.70%,Intel Iris Plus G7,13.80%,Intel,Intel
525,535,36292696,142%,103%,136%,Intel Core i7-9700K,98.60%,Nvidia RTX 2080S (Super),142.60%,Nvidia,Intel
526,536,36292698,230%,109%,260%,AMD Ryzen 9 5900X,106.90%,Nvidia RTX 3080,220.60%,Nvidia,AMD
527,537,36292700,118%,86%,100%,Intel Core i5-9400F,84.90%,Nvidia RTX 2080,140.60%,Nvidia,Intel
528,538,36292704,17%,84%,16%,Intel Core i5-9300H,84.20%,Intel UHD Graphics 630,9.60%,Intel,Intel
529,539,36292707,109%,92%,92%,Intel Core i7-7700K,87.40%,Nvidia GTX 1080-Ti,124.50%,Nvidia,Intel
530,540,36292708,88%,96%,89%,AMD Ryzen 7 3700X,92.40%,AMD RX 5600-XT,90.80%,AMD,AMD
531,541,36292712,75%,94%,79%,Intel Core i7-10700F,93.60%,Nvidia GTX 1660S (Super),77.70%,Nvidia,Intel
532,542,36292714,100%,100%,92%,Intel Core i5-10600K,96%,Nvidia GTX 1070-Ti,102.30%,Nvidia,Intel
533,543,36292726,112%,94%,114%,AMD Ryzen 7 3800X,92.10%,Nvidia RTX 2070S (Super),120.70%,Nvidia,AMD
534,544,36292728,202%,102%,184%,Intel Core i7-8700K,102.40%,Nvidia RTX 3080,200.80%,Nvidia,Intel
535,545,36292735,118%,98%,135%,AMD Ryzen 9 3900X,92.80%,Nvidia RTX 2070S (Super),123%,Nvidia,AMD
536,546,36292753,12%,61%,10%,AMD Phenom II X6 1055T,55.40%,Nvidia GTX 750-Ti,17.80%,Nvidia,AMD
537,547,36292755,64%,78%,58%,AMD Ryzen 5 1600,73.10%,Nvidia GTX 1660-Ti,79.90%,Nvidia,AMD
538,548,36292759,240%,108%,283%,AMD Ryzen 9 5900X,99.80%,Nvidia RTX 3090,246.80%,Nvidia,AMD
539,549,36292761,27%,46%,20%,Intel Core i5-6500,47.70%,Nvidia GTX 1060-6GB,58.60%,Nvidia,Intel
540,550,36292762,51%,85%,49%,AMD Ryzen 5 3600,82.80%,Nvidia GTX 1650S (Super),56.40%,Nvidia,AMD
541,551,36292765,4%,47%,4%,Intel Core i7 M 620,46.30%,Nvidia Quadro FX 880M,2.60%,Nvidia,Intel
542,552,36292773,69%,91%,65%,AMD Ryzen 5 3600XT,90.80%,Nvidia GTX 1660S (Super),74.80%,Nvidia,AMD
543,553,36292775,109%,81%,101%,Intel Core i7-7800X,81.30%,Nvidia GTX 1080-Ti,137.40%,Nvidia,Intel
544,554,36292778,91%,89%,78%,Intel Core i7-4790K,83.50%,Nvidia GTX 1070-Ti,107.70%,Nvidia,Intel
545,555,36292785,87%,109%,95%,Intel Core i9-10900K,106.30%,Nvidia GTX 1660S (Super),76.20%,Nvidia,Intel
546,556,36292787,14%,85%,13%,Intel Core i7-8559U,83.80%,Intel Iris Plus Graphics 655,9.70%,Intel,Intel
547,557,36292798,22%,93%,21%,Intel Core i7-8700K,90.60%,Nvidia GTX 750-Ti,16.10%,Nvidia,Intel
548,558,36292799,35%,94%,32%,Intel Core i7-8700,96.10%,Nvidia GTX 1050-Ti,29.40%,Nvidia,Intel
549,559,36292802,66%,83%,59%,AMD Ryzen 5 2600,82.30%,Nvidia GTX 1660-Ti,78.20%,Nvidia,AMD
550,560,36292805,47%,89%,40%,Intel Core i5-8400,90.60%,Nvidia GTX 1060-6GB,49%,Nvidia,Intel
551,561,36292808,97%,96%,81%,Intel Core i7-7700,88.90%,Nvidia GTX 1080,105.30%,Nvidia,Intel
552,562,36292814,55%,101%,52%,AMD Ryzen 5 5600X,100.70%,AMD RX 470,47.60%,AMD,AMD
553,563,36292817,144%,106%,125%,Intel Core i5-9600KF,103.40%,Nvidia GTX 1080-Ti,138.20%,Nvidia,Intel
554,564,36292819,23%,77%,17%,Intel Core i3-8100,76.90%,Nvidia GTX 1050-Ti,29.20%,Nvidia,Intel
555,565,36292820,85%,93%,90%,AMD Ryzen 7 3700X,88.10%,AMD RX 5600-XT,93.10%,AMD,AMD
556,566,36292822,24%,91%,23%,Intel Core i7-4930K,92.80%,Nvidia GT 1030,15.70%,Nvidia,Intel
557,567,36292823,19%,80%,17%,Intel Core i7-4771,74.90%,Nvidia GTX 660,19.40%,Nvidia,Intel
558,568,36292847,122%,92%,143%,AMD Ryzen 9 3900X,84.60%,Nvidia RTX 2080S (Super),143.20%,Nvidia,AMD
559,569,36292856,7%,60%,7%,Intel Core i5-4300U,61%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.80%,Intel,Intel
560,570,36292864,53%,94%,59%,AMD Ryzen 9 3900X,92.70%,Nvidia GTX 970,49.50%,Nvidia,AMD
561,571,36292879,57%,90%,56%,AMD Ryzen 7 2700X,89.30%,AMD R9 Fury,61.10%,AMD,AMD
562,572,36292883,56%,93%,53%,AMD Ryzen 5 1600,88.60%,AMD RX 580,54.30%,AMD,AMD
563,573,36292885,73%,91%,66%,Intel Core i5-10400,89%,Nvidia GTX 1070,78.40%,Nvidia,Intel
564,574,36292886,136%,100%,138%,Intel Core i7-10700K,100.50%,Nvidia GTX 1080-Ti,134.90%,Nvidia,Intel
565,575,36292889,60%,80%,54%,AMD Ryzen 5 2600,78.90%,Nvidia GTX 1660S (Super),75.70%,Nvidia,AMD
566,576,36292892,40%,65%,30%,AMD FX-6300,60.50%,Nvidia GTX 1660S (Super),67.90%,Nvidia,AMD
567,577,36292900,66%,105%,54%,Intel Core i5-7600K,97.10%,AMD RX 580,60.10%,AMD,Intel
568,578,36292902,89%,71%,100%,AMD Ryzen 7 3700X,56.80%,Nvidia RTX 3070,150.80%,Nvidia,AMD
569,579,36292905,40%,82%,36%,AMD Ryzen 5 2600,79.10%,AMD RX 580,41.20%,AMD,AMD
570,580,36292909,27%,94%,26%,AMD Ryzen 5 3600X,87.10%,AMD R7 265,20.40%,AMD,AMD
571,581,36292910,81%,83%,62%,Intel Core i5-6600K,78%,Nvidia GTX 1080,103.90%,Nvidia,Intel
572,582,36292912,117%,100%,106%,Intel Core i7-8086K,101.50%,Nvidia RTX 3080,113.30%,Nvidia,Intel
573,583,36292913,105%,68%,141%,AMD Ryzen 9 3900X,60.80%,Nvidia RTX 2080-Ti,166.80%,Nvidia,AMD
574,584,36292916,10%,62%,7%,AMD FX-4300,62.80%,Nvidia GTX 560,13.80%,Nvidia,AMD
575,585,36292918,68%,92%,55%,Intel Core i5-9300H,84.70%,Nvidia RTX 2060 (Mobile),75.50%,Nvidia,Intel
576,586,36292919,77%,90%,72%,AMD Ryzen 5 3600X,84.40%,Nvidia RTX 2060,87%,Nvidia,AMD
577,587,36292923,76%,92%,68%,Intel Core i7-10875H,80.90%,Nvidia RTX 2080S (Super Mobile Max-Q),86.80%,Nvidia,Intel
578,588,36292929,50%,90%,41%,Intel Core i3-9350K,85.10%,Nvidia GTX 1060-3GB,52.30%,Nvidia,Intel
579,589,36292930,73%,94%,72%,Intel Core i7-5960X,94.30%,Nvidia GTX Titan X,73.40%,Nvidia,Intel
580,590,36292940,121%,105%,109%,Intel Core i7-8086K,103.20%,Nvidia RTX 3070,114.10%,Nvidia,Intel
581,591,36292948,43%,88%,36%,Intel Core i7-2600K,83.40%,Nvidia GTX 1650,46.90%,Nvidia,Intel
582,592,36292950,6%,50%,6%,Intel Core i3-2100,52.70%,AMD Radeon HD 8490,2.40%,AMD,Intel
583,593,36292953,29%,67%,23%,AMD Phenom II X6 1100T,61.40%,AMD RX 570,45.10%,AMD,AMD
584,594,36292958,166%,98%,156%,Intel Core i9-9900K,96.90%,Nvidia RTX 2080-Ti,175.70%,Nvidia,Intel
585,595,36292962,224%,103%,214%,Intel Core i7-9700K,102.90%,Nvidia RTX 3080,223.20%,Nvidia,Intel
586,596,36292964,115%,99%,109%,AMD Ryzen 5 3600,91.90%,AMD RX 5700-XT,121.70%,AMD,AMD
587,597,36292968,89%,92%,74%,Intel Core i7-7700K,86.90%,Nvidia GTX 1080,99.60%,Nvidia,Intel
588,598,36292971,124%,92%,104%,Intel Core i7-6700K,91.80%,Nvidia RTX 2080,136.70%,Nvidia,Intel
589,599,36292973,120%,95%,124%,AMD Ryzen 7 3800X,92.20%,Nvidia RTX 2070S (Super),129.40%,Nvidia,AMD
590,600,36292981,126%,93%,127%,Intel Core i9-9900K,91.60%,Nvidia GTX 1080-Ti,139.10%,Nvidia,Intel
591,601,36292982,175%,104%,181%,Intel Core i7-10700K,103.80%,Nvidia RTX 3070,171.80%,Nvidia,Intel
592,602,36292984,14%,72%,11%,Intel Xeon E3-1240,74.30%,Nvidia GTX 650-Ti,16%,Nvidia,Intel
593,603,36292988,186%,110%,172%,AMD Ryzen 5 5600X,106.70%,Nvidia RTX 3070,176.40%,Nvidia,AMD
594,604,36292989,94%,88%,89%,AMD Ryzen 5 3600,87.30%,Nvidia GTX 1070-Ti,105.50%,Nvidia,AMD
595,605,36292999,57%,84%,54%,AMD Ryzen 5 3600,79.50%,Nvidia GTX 1660,70.50%,Nvidia,AMD
596,606,36293003,24%,81%,22%,AMD Ryzen 5 2400G,76.40%,Nvidia GTX 1660,21.70%,Nvidia,AMD
597,607,36293006,166%,100%,159%,Intel Core i7-9700K,100.50%,Nvidia RTX 3070,166.50%,Nvidia,Intel
598,608,36293008,22%,78%,20%,AMD Ryzen 5 3400G,71.60%,AMD Radeon RX Vega 11 Graphics,18.50%,AMD,AMD
599,609,36293018,71%,75%,53%,Intel Core i5-3570K,72.20%,Nvidia RTX 2060S (Super),101.90%,Nvidia,Intel
600,610,36293019,12%,77%,11%,Intel Core i5-1035G1,74.40%,Nvidia GeForce MX230,10.80%,Nvidia,Intel
601,611,36293021,82%,86%,77%,AMD Ryzen 5 3600X,85.80%,Nvidia GTX 1070-Ti,94.60%,Nvidia,AMD
602,612,36293024,83%,90%,70%,Intel Core i5-9400F,85.10%,Nvidia RTX 2060,93.70%,Nvidia,Intel
603,613,36293029,40%,76%,34%,AMD FX-8350,70.40%,AMD R9 390,53.10%,AMD,AMD
604,614,36293034,118%,98%,100%,Intel Core i5-9600K,93.80%,Nvidia GTX 1080-Ti,123%,Nvidia,Intel
605,615,36293037,2%,46%,2%,Intel Core2 Duo E8435,46%,Nvidia GeForce 9600M-GT,1.70%,Nvidia,Intel
606,616,36293042,67%,80%,52%,Intel Core i5-4670K,74.40%,AMD RX 5600-XT,87.90%,AMD,Intel
607,617,36293045,135%,85%,129%,AMD Ryzen 7 2700X,81%,Nvidia RTX 3070,168.50%,Nvidia,AMD
608,618,36293046,99%,86%,91%,AMD Ryzen 5 1600X,78.80%,Nvidia RTX 2070S (Super),119.30%,Nvidia,AMD
609,619,36293053,30%,88%,24%,Intel Core i5-7600K,83.80%,Nvidia GTX 1050-Ti,28.80%,Nvidia,Intel
610,620,36293055,25%,88%,23%,AMD Ryzen 5 3400G,77.10%,AMD Radeon RX Vega 11 Graphics,18.20%,AMD,AMD
611,621,36293056,96%,90%,91%,Intel Core i7-9700F,94.20%,Nvidia RTX 2060S (Super),102%,Nvidia,Intel
612,622,36293061,50%,81%,39%,Intel Core i5-3570,77%,AMD RX 580,61.60%,AMD,Intel
613,623,36293069,220%,109%,269%,AMD Ryzen 9 5950X,106.30%,Nvidia RTX 3080,211.60%,Nvidia,AMD
614,624,36293071,118%,99%,110%,AMD Ryzen 5 3600,94.60%,AMD RX 5700-XT,121.90%,AMD,AMD
615,625,36293072,16%,64%,13%,AMD Ryzen 5 3550H,48.60%,Nvidia GeForce GTX 1050,27%,Nvidia,AMD
616,626,36293074,61%,87%,47%,Intel Core i5-4670K,82.90%,Nvidia GTX 1660,70.60%,Nvidia,Intel
617,627,36293075,227%,105%,228%,Intel Core i9-9900K,101.60%,Nvidia RTX 3080,228.80%,Nvidia,Intel
618,628,36293079,61%,66%,53%,AMD FX-8350,59.60%,Nvidia GTX 1080,102.40%,Nvidia,AMD
619,629,36293081,0%,43%,0%,Intel Core i3-4010U,50.40%,Intel HD 4400 (Mobile 1.0/1.1 GHz),0.40%,Intel,Intel
620,630,36293088,124%,108%,107%,Intel Core i7-8700K,105.50%,Nvidia GTX 1080,114.70%,Nvidia,Intel
621,631,36293089,101%,103%,94%,Intel Core i7-9700K,97.70%,Nvidia RTX 2060S (Super),98%,Nvidia,Intel
622,632,36293092,63%,81%,60%,AMD Ryzen 5 3600,75.60%,AMD RX 5600-XT,77.80%,AMD,AMD
623,633,36293094,152%,92%,179%,AMD Ryzen 9 3900X,86.50%,Nvidia RTX 2080-Ti,175.90%,Nvidia,AMD
624,634,36293099,49%,88%,39%,Intel Core i5-4690K,84.90%,Nvidia GTX 970,53.40%,Nvidia,Intel
625,635,36293103,16%,94%,16%,Intel Core i9-9900K,102.10%,Intel UHD Graphics 630,5.40%,Intel,Intel
626,636,36293130,191%,91%,201%,AMD Ryzen 7 3700X,84.40%,Nvidia RTX 3090,232.30%,Nvidia,AMD
627,637,36293133,10%,62%,10%,Intel Core i5-8250U,58.40%,Intel UHD Graphics 620 (Mobile Kaby Lake R),4.30%,Intel,Intel
628,638,36293137,8%,79%,7%,Intel Core i5-1135G7,74.80%,Intel Iris Xe,15.50%,Intel,Intel
629,639,36293138,96%,97%,96%,AMD Ryzen 7 3700X,90.90%,Nvidia GTX 1080,101.40%,Nvidia,AMD
630,640,36293145,27%,92%,26%,AMD Ryzen 7 4800HS,90.40%,AMD Radeon Graphics,18.30%,AMD,AMD
631,641,36293147,98%,103%,83%,Intel Core i7-4790K,97.30%,AMD RX Vega-64,98.20%,AMD,Intel
632,642,36293149,107%,94%,104%,AMD Ryzen 5 3600,86.90%,Nvidia RTX 2070S (Super),120.70%,Nvidia,AMD
633,643,36293151,146%,93%,151%,AMD Ryzen 7 3700X,82.90%,Nvidia RTX 3070,177.40%,Nvidia,AMD
634,644,36293153,112%,88%,109%,AMD Ryzen 5 3600X,79.80%,Nvidia RTX 3060-Ti,140.10%,Nvidia,AMD
635,645,36293158,24%,76%,19%,Intel Core i5-7300HQ,69.20%,Nvidia GTX 1050-Ti (Mobile),30.60%,Nvidia,Intel
636,646,36293162,7%,66%,6%,Intel Xeon E31220,74.90%,Nvidia Quadro 2000,6.30%,Nvidia,Intel
637,647,36293163,265%,111%,301%,AMD Ryzen 9 5900X,108.40%,Nvidia RTX 3090,251.90%,Nvidia,AMD
638,648,36293169,203%,98%,184%,Intel Core i7-8700,94.50%,Nvidia RTX 3080,218.80%,Nvidia,Intel
639,649,36293171,2%,35%,1%,AMD A10-9600P APU (2016 M.BR),33.20%,AMD Radeon R5 Graphics,4.20%,AMD,AMD
640,650,36293183,67%,79%,52%,Intel Core i5-4670K,74.10%,AMD RX 5600-XT,88.50%,AMD,Intel
641,651,36293186,59%,70%,48%,AMD FX-8320E,62.70%,Nvidia GTX 1070-Ti,92.20%,Nvidia,AMD
642,652,36293187,3%,60%,3%,Intel Core i5-3330,71.70%,Nvidia GeForce 210,0.90%,Nvidia,Intel
643,653,36293189,200%,102%,204%,Intel Core i7-10700K,99.20%,Nvidia RTX 3080,207.10%,Nvidia,Intel
644,654,36293220,91%,85%,87%,AMD Ryzen 5 3600X,79.40%,Nvidia RTX 2070S (Super),113.40%,Nvidia,AMD
645,655,36293226,42%,79%,34%,Intel Core i7-2600,76.20%,Nvidia GTX 1060-3GB,51.60%,Nvidia,Intel
646,656,36293228,91%,91%,94%,AMD Ryzen 7 3700X,86.10%,AMD RX 5700-XT,103.10%,AMD,AMD
647,657,36293230,72%,92%,72%,AMD Ryzen 7 2700X,86.50%,Nvidia GTX 1660,76.20%,Nvidia,AMD
648,658,36293237,42%,94%,38%,Intel Core i7-9850H,85.40%,Nvidia Quadro T2000,39.90%,Nvidia,Intel
649,659,36293249,30%,87%,25%,Intel Core i7-9750H,76.10%,Nvidia GTX 1660-Ti (Mobile),32.30%,Nvidia,Intel
650,660,36293254,4%,62%,3%,Intel Core i3-7100,67%,Intel HD 630 (Desktop Kaby Lake),4.80%,Intel,Intel
651,661,36293256,5%,67%,4%,Intel Core i5-8250U,75.80%,Intel UHD Graphics 620 (Mobile Kaby Lake R),5.20%,Intel,Intel
652,662,36293261,4%,61%,3%,Intel Core i5-3340,69.30%,AMD Radeon HD 6670,5.50%,AMD,Intel
653,663,36293263,115%,95%,109%,AMD Ryzen 5 3600,89.20%,Nvidia GTX 1080-Ti,125.90%,Nvidia,AMD
654,664,36293265,41%,85%,35%,Intel Core i7-6700,80.20%,Nvidia GTX 1650,43.90%,Nvidia,Intel
655,665,36293268,30%,76%,28%,AMD Ryzen 5 1600,71.60%,Nvidia GTX 1050-Ti,33.70%,Nvidia,AMD
